"item" "qudbias" "prior" "none" "all" "some"
"1" 7 "NoneBias" "All" 0.00512504674130612 1 0.608098297701614
"2" 10 "NoneBias" "Some" 0.0589411738151381 0.325636443076114 0.909090909090909
"3" 4 "NoneBias" "All" 0.318431095049775 0.538359572256052 0.765683614316014
"4" 2 "NoneBias" "All" 0.578002371816332 0.0530270340655183 0.899619824593415
"5" 6 "NoneBias" "All" 0.274057625934364 0.250288031199855 0.778484341381783
"6" 11 "NoneBias" "Some" 0.262354551676934 0.091488811385084 0.959030405470296
"7" 8 "NoneBias" "All" 0.0546021288277279 0.678732890019961 0.90042694551367
"8" 13 "NoneBias" "Some" 0.390602455394492 0.185529209224392 0.660765832106038
"9" 19 "NoneBias" "None" 0.738318570714935 0.264514637904468 0.523652089619735
"10" 12 "NoneBias" "Some" 0.320988097375936 0.125756940062332 0.941297329028471
"11" 20 "NoneBias" "None" 0.744137382228473 0 0.626505467908349
"12" 5 "NoneBias" "All" 0 0.724101587301587 0.876319566078884
"13" 22 "NoneBias" "None" 0.479432049731949 0.116080592016421 0.821784252383308
"14" 16 "NoneBias" "Some" 0.0743610380067787 0.242189599840959 0.888888888888889
"15" 15 "NoneBias" "Some" 0.445331991118712 0.0586875 0.985765616362631
"16" 21 "NoneBias" "None" 0.940004799616031 0.0173103167383989 0.0135638581705045
"17" 23 "NoneBias" "None" 0 0.929353946964267 0.575070875210323
"18" 14 "NoneBias" "Some" 0.673816461061818 0.0112381471352984 0.785414801858345
"19" 17 "NoneBias" "None" 0.593600226834411 0.00188725536452337 0.80601954396456
"20" 9 "NoneBias" "Some" 0 0.358998646835055 0.931403730261666
"21" 24 "NoneBias" "None" 0.7137964168035 0.10261657697905 0.502219128381366
"22" 18 "NoneBias" "None" 0.528583470374466 0.154761091917137 0.733137495365087
"23" 1 "NoneBias" "All" 0.106637461834594 0.869754511120436 0.592033006509972
"24" 3 "NoneBias" "All" 0.0833333333333333 0.826112795393242 0.660185571459789
"25" 7 "AllBias" "All" 0.0136720142602496 0.826214001999892 0.891289472179079
"26" 10 "AllBias" "Some" 0.06548950615943 0.287995828043466 1
"27" 4 "AllBias" "All" 0.149148569969251 0.498099891422367 0.824417941875222
"28" 2 "AllBias" "All" 0.318297825269352 0.124533462300112 0.843168402777778
"29" 6 "AllBias" "All" 0.164320306824284 0.401546511627907 0.702686868686869
"30" 11 "AllBias" "Some" 0.0106718278666118 0.159189542548035 1
"31" 8 "AllBias" "All" 0 0.780171270087605 0.849786117873742
"32" 13 "AllBias" "Some" 0.402710241157159 0.202525717583972 0.892729655975989
"33" 19 "AllBias" "None" 0.445663556322579 0.213089798665852 0.819448363081569
"34" 12 "AllBias" "Some" 0.165762408422474 0.126833538288076 0.9
"35" 20 "AllBias" "None" 0.769230769230769 0.0206102689140959 0.516040404388475
"36" 5 "AllBias" "All" 0 0.89266975308642 0.682628127995028
"37" 22 "AllBias" "None" 0.480093256964649 0.135311547215184 0.693358893060769
"38" 16 "AllBias" "Some" 0.141012773646546 0.162108984071898 0.896200954951214
"39" 15 "AllBias" "Some" 0.545920180232399 0.160450964881585 0.89620154846975
"40" 21 "AllBias" "None" 0.909090909090909 0.0952125063802708 0.127667648655644
"41" 23 "AllBias" "None" 0 0.944780487267601 0.589725442793186
"42" 14 "AllBias" "Some" 0.625 0.284231062983242 0.728551258899971
"43" 17 "AllBias" "None" 0.403549358901414 0.0264532650448143 0.94488440924726
"44" 9 "AllBias" "Some" 0.0955710955710956 0.294772636152007 0.9
"45" 24 "AllBias" "None" 0.195805506962204 0.644457670589021 0.632752636560949
"46" 18 "AllBias" "None" 0.326355245119262 0.641211938498643 0.389946865981976
"47" 1 "AllBias" "All" 0.166666666666667 0.874007540619192 0.666135915527121
"48" 3 "AllBias" "All" 0.0909090909090909 0.818981106672071 0.695260596821568
"49" 7 "HowManyBias" "All" 0.00207018675471397 0.916666666666667 0.369286827631293
"50" 10 "HowManyBias" "Some" 0.0683787864293399 0.226774897209641 0.928348416289593
"51" 4 "HowManyBias" "All" 0.0683840264845851 0.586025677919668 0.755452711717784
"52" 2 "HowManyBias" "All" 0.173181252167656 0.204842267606973 1
"53" 6 "HowManyBias" "All" 0.0590932109941871 0.484224885795677 0.932150767040832
"54" 11 "HowManyBias" "Some" 0 0.344055792589082 0.968038524232126
"55" 8 "HowManyBias" "All" 0.0300328633520619 0.725910808969501 0.722482873157567
"56" 13 "HowManyBias" "Some" 0.497629072894642 0.240273862263391 0.695415695415695
"57" 19 "HowManyBias" "None" 0.679267545380969 0.0921635337274058 0.480520777091969
"58" 12 "HowManyBias" "Some" 0.198907848099264 0.405412804708694 0.795578524260695
"59" 20 "HowManyBias" "None" 0.673448435292522 0.0997078801956851 0.688865698689709
"60" 5 "HowManyBias" "All" 0.0389222910356675 0.909090909090909 0.593997861873774
"61" 22 "HowManyBias" "None" 0.459696241798376 0.00767241379310345 0.794405700441742
"62" 16 "HowManyBias" "Some" 0.0402168665440634 0.034623290110639 1
"63" 15 "HowManyBias" "Some" 0.443564256917421 0.228440772641714 0.851727146330017
"64" 21 "HowManyBias" "None" 0.939393939393939 0.0938555582290226 0.0808200994857611
"65" 23 "HowManyBias" "None" 0.00077906976744186 0.880597014925373 0.65180124254474
"66" 14 "HowManyBias" "Some" 0.44161337686266 0.0407070010279173 0.847349562510072
"67" 17 "HowManyBias" "None" 0.458750096045022 0.0869757397372155 0.726384205719372
"68" 9 "HowManyBias" "Some" 0.0816158862230148 0.612363830941772 0.75569875151027
"69" 24 "HowManyBias" "None" 0.166666666666667 0.577107059927226 0.867398561309542
"70" 18 "HowManyBias" "None" 0.443337158385172 0.3029523060985 0.597882400048695
"71" 1 "HowManyBias" "All" 0.000577566290817558 0.824722084099985 0.602724335374077
"72" 3 "HowManyBias" "All" 0.0877317778726229 0.895409731792643 0.497878499247412
