"item" "qudbias" "prior" "none" "all" "many"
"1" 11 "NoneBias" "Some" 0.777560168965647 0.15 0.631170478427982
"2" 10 "NoneBias" "Some" 0.712490622655664 0.256443660045182 0.538052363449054
"3" 2 "NoneBias" "All" 0.738430024612437 0.15 0.665867246008896
"4" 20 "NoneBias" "None" 0.838976927075279 0.157764572200759 0.637487211507948
"5" 21 "NoneBias" "None" 0.91750069522016 0.129998361135949 0.290922864927943
"6" 18 "NoneBias" "None" 0.769205192615818 0.0863072041806644 0.578346867574377
"7" 7 "NoneBias" "All" 0.699310056449927 0.464257358002955 0.52417583948936
"8" 19 "NoneBias" "None" 0.905089135384127 0.132866189141493 0.472925279064903
"9" 8 "NoneBias" "All" 0.688865182648279 0.22413643738756 0.557019581276507
"10" 13 "NoneBias" "Some" 1 0 0.428552297831208
"11" 22 "NoneBias" "None" 0.958470367406424 0.0981307365122006 0.648191421784932
"12" 6 "NoneBias" "All" 0.745685239152077 0.307624989731526 0.473353904061891
"13" 24 "NoneBias" "None" 0.902549118340507 0.367248913340326 0.335391256355208
"14" 17 "NoneBias" "None" 0.84165456691638 0.15 0.596163793241466
"15" 3 "NoneBias" "All" 0.570788163464009 0.398152145917654 0.620474745235997
"16" 14 "NoneBias" "Some" 0.899607142857143 0.0663235082626585 0.388846225054675
"17" 23 "NoneBias" "None" 0.517000229803858 0.279764528989293 0.694856774248535
"18" 9 "NoneBias" "Some" 0.59045478719426 0.276349227902475 0.61044091351139
"19" 5 "NoneBias" "All" 0.93338458417074 0.0153352111271126 0.496372404581941
"20" 12 "NoneBias" "Some" 0.874935646039568 0.0776831683819674 0.568905633421681
"21" 1 "NoneBias" "All" 0.8 0.360110550165255 0.553919284547937
"22" 4 "NoneBias" "All" 0.77040637221072 0.215358362026648 0.434639898576033
"23" 15 "NoneBias" "Some" 0.837106918238994 0.142423999830813 0.595141597019982
"24" 16 "NoneBias" "Some" 0.687986953231226 0.172136082474227 0.701502314635404
"25" 11 "AllBias" "Some" 0.270827911961964 0.513861240947001 0.803422404191534
"26" 10 "AllBias" "Some" 0.331212617427295 0.584870587327151 0.497897982348717
"27" 2 "AllBias" "All" 0.60403075682413 0.471347096466817 0.512555406643057
"28" 20 "AllBias" "None" 0.585586079444257 0.462777860511824 0.446875418814797
"29" 21 "AllBias" "None" 0.697340531893621 0.126780853584977 0.620580475297453
"30" 18 "AllBias" "None" 0.369181899140589 0.983519804666305 0.213650768142584
"31" 7 "AllBias" "All" 0.262702708616017 0.835638124815144 0.311001285022747
"32" 19 "AllBias" "None" 0.540876199073098 0.573689121600374 0.477456432287268
"33" 8 "AllBias" "All" 0.118844134090494 0.900208646183932 0.525169563881351
"34" 13 "AllBias" "Some" 0.353288015551801 0.556621536336395 0.640531000754312
"35" 22 "AllBias" "None" 0.480406469829414 0.516505972631625 0.49915039226967
"36" 6 "AllBias" "All" 0.241183585991473 0.865423443634324 0.171544761777012
