"item" "qudbias" "prior" "none" "all" "some"
"1" 7 "NoneBias" "All" 0.0297411081538834 0.925959812077324 0.633077127220425
"2" 10 "NoneBias" "Some" 0.140437191423759 0.324682232420565 0.928571428571429
"3" 4 "NoneBias" "All" 0.245994738222367 0.41926693653828 0.764827155516748
"4" 2 "NoneBias" "All" 0.564322923078954 0.0731752773911401 0.892532301204931
"5" 6 "NoneBias" "All" 0.284863283979968 0.285460009001639 0.798389978325227
"6" 11 "NoneBias" "Some" 0.28324436166052 0.21196039118509 0.938357163587133
"7" 8 "NoneBias" "All" 0.113712915296882 0.61407341973095 0.852262509216294
"8" 13 "NoneBias" "Some" 0.47101340979844 0.272952788067005 0.689636876240259
"9" 19 "NoneBias" "None" 0.813084693367811 0.250865610870419 0.486785106030903
"10" 12 "NoneBias" "Some" 0.39289230227202 0.183932205299081 0.889777932118362
"11" 20 "NoneBias" "None" 0.780912862701538 0.061198573787889 0.604363549774823
"12" 5 "NoneBias" "All" 0.0785044985049434 0.578651959960534 0.821937352089365
"13" 22 "NoneBias" "None" 0.542299239269894 0.134228314713696 0.838390196363334
"14" 16 "NoneBias" "Some" 0.142318699612875 0.333189104046936 0.898397733037136
"15" 15 "NoneBias" "Some" 0.45661540377308 0.103387835194376 0.96906021405424
"16" 21 "NoneBias" "None" 0.955003599712023 0.104895365793641 0.162642932538471
"17" 23 "NoneBias" "None" 0.0989436529929265 0.881115463315425 0.608396735128787
"18" 14 "NoneBias" "Some" 0.689128617639683 0.0342728369396562 0.822380117410822
"19" 17 "NoneBias" "None" 0.666688722506243 0.0768677222570216 0.812122614554483
"20" 9 "NoneBias" "Some" 0.100890284930972 0.428295104352322 0.94855279769625
"21" 24 "NoneBias" "None" 0.692047464232648 0.170877499345252 0.565835610299371
"22" 18 "NoneBias" "None" 0.471487071353112 0.183024578592253 0.731570887651722
"23" 1 "NoneBias" "All" 0.172197884862162 0.756742099921474 0.534423920027274
"24" 3 "NoneBias" "All" 0.144345988027211 0.744553721396068 0.637971760822149
"25" 7 "AllBias" "All" 0.0107422969187675 0.793136321867776 0.826380736827187
"26" 10 "AllBias" "Some" 0.14864060091148 0.411196940565208 1
"27" 4 "AllBias" "All" 0.283172498497661 0.502977121555588 0.814210294146554
"28" 2 "AllBias" "All" 0.340262539735253 0.22054455274149 0.835447601186898
"29" 6 "AllBias" "All" 0.192943450518412 0.492886029462293 0.644438981315322
"30" 11 "AllBias" "Some" 0.0796806561594986 0.243427673793797 0.980292312936765
"31" 8 "AllBias" "All" 0.0311018041237113 0.759132558604635 0.809530297378053
"32" 13 "AllBias" "Some" 0.428654176848584 0.34851885956158 0.891668043720108
"33" 19 "AllBias" "None" 0.486141197171214 0.262327359909951 0.751295706335388
