Time,MD5,Controller,Blah,Blah,condition,quantifier,prior,qudbias,item,sentence,startvalue,endvalue,rating,duplicate
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,28,0,EveryNot.All.AllBias,EveryNot,All,AllBias,7,<b> None </b> of the infants have been changed,0,100,50,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,The kids answered <b> some but not all of </b>the questions correctly,0,100,42.17,Match
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,The kids answered <b> some but not all of </b>the questions correctly,0,100,94.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,The kids answered <b> all of </b>the questions correctly,0,100,1.5,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,The kids didn't answer <b> any of </b>the questions correctly,0,100,0.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b> Some but not all </b> of the wedding invitations have been written,0,100,92.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b> All </b> of the wedding invitations have been written,0,100,29.83,Match
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b> All </b> of the wedding invitations have been written,0,100,23.17,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,19,0,EveryNot.All.AllBias,EveryNot,All,AllBias,4,<b> None </b> of the wedding invitations have been written,0,100,23.17,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,<b> None </b> of the six deer survived,0,100,71.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,<b> Some but not all </b> of the six deer survived,0,100,86.5,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,14,0,EveryNot.All.NoneBias,EveryNot,All,NoneBias,2,<b> All </b> of the six deer survived,0,100,4.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,<b> All </b> of the new songs have been demoed,0,100,69.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,<b> None </b> of the new songs have been demoed,0,100,70.17,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,24,0,EveryNot.All.HowManyBias,EveryNot,All,HowManyBias,6,<b> Some but not all </b> of the new songs have been demoed,0,100,98.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,<b> None </b> of the sales were closed in the end,0,100,60.83,NoMatch
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,<b> Some but not all </b> of the sales were closed in the end,0,100,80.5,Match
1566388751,105cc01dded11b3751921349e8c8447f,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,<b> Some but not all </b> of the sales were closed in the end,0,100,93.83,NoMatch
