Time,MD5,Controller,Blah,Blah,condition,quantifier,prior,qudbias,item,sentence,startvalue,endvalue,rating,RT
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,The local community organized a flea market last weekend. The sellers  all hoped that they could close even just one sale they dealt with.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,<b>Were any</b> of the sales closed in the end?,0,100,95.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,<b>How many</b> of the sales were closed in the end?,0,100,95.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,41,0,EveryNot.Some.NoneBias,EveryNot,Some,NoneBias,11,<b>Were all</b> of the sales closed in the end?,0,100,30.78,30941
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,The city council organized a spelling bee competition. As the competition began%2C the parents wondered if their kids would be able to get everything correct.,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,How relevant are the following questions for the story?,0,100,-1,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,<b>How many</b> of the questions did the kids answer correctly?,0,100,13.78,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,<b>How many</b> of the questions did the kids answer correctly?,0,100,26.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,Did the kids answer <b> all of </b>the questions correctly?,0,100,30.44,
1565024361,521996879b294ffadc36c8364e6299f9,MultiSlider,37,0,EveryNot.Some.AllBias,EveryNot,Some,AllBias,10,Did the kids answer <b> any of </b>the questions correctly?,0,100,93.78,24809
